date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:34	80992/80992	---M-Z	200	added ('OK')	text/html	etag:%2213c60-684af29c-1a48a3df7018e095;gz%22	https://wpriverthemes.com/HTML/jayden/home1-v6.html	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/home1-v6.html	(from )
10:52:36	114/114	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20Feb%202026%2005:22:36%20GMT	https://wpriverthemes.com/robots.txt		(from )
10:52:37	312671/312671	---M-Z	200	added ('OK')	text/css	etag:%224c55f-684af29c-f8dde43120d5e68e;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/bootstrap.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/css/bootstrap.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
10:52:38	13523/13523	---M-Z	200	added ('OK')	text/css	etag:%2234d3-684af29c-765a3a363a290807;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/bootstrap-select.min.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/css/bootstrap-select.min.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
10:52:39	92982/92982	---M-Z	200	added ('OK')	text/css	etag:%2216b36-684af29c-42b37f89e0b1a4a;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/styles.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/css/styles.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
10:52:40	21724/21724	---M-Z	200	added ('OK')	text/css	etag:%2254dc-684af29c-8834372b699cfb86;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/swiper-bundle.min.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/css/swiper-bundle.min.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
10:52:41	3354/3354	---M-Z	200	added ('OK')	text/css	etag:%22d1a-684af29c-233e13bd271eabd6;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/odometer.min.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/css/odometer.min.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
10:52:42	3551/3551	---M-Z	200	added ('OK')	text/css	etag:%22ddf-684af29c-bcfbb0bc27e996a1;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/lightbox.min.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/css/lightbox.min.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
10:52:43	61657/61657	---M-Z	200	added ('OK')	text/css	etag:%22f0d9-684af29c-c05158ec9016f24a;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/animate.min.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/css/animate.min.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
10:52:44	22469/22469	---M-Z	200	added ('OK')	text/css	etag:%2257c5-684af29c-adb8b00a6a44a9fc;gz%22	https://wpriverthemes.com/HTML/jayden/asset/font/fonts.css	/Users/bpract/websites/jayden-v2/wpriverthemes.com/HTML/jayden/asset/font/fonts.css	(from https://wpriverthemes.com/HTML/jayden/home1-v6.html)
